CommunityName,State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Anchoragecity,AK,13.96,28.98,13.23,3.48,43946,90.83,19620,21277,13649,10760,13604,13713,13092,7.07,9.61,26.85,6.46,73.29,226338,2.74,6.43,80.74,4.82,4.09,14.62,73.33,13359,15.91,25.86,11451,310,34,23,9.07,212,83.63,568,224.06,1410,556.21,1880,741.62,10660,4205.13,1387,547.14,105,41.42
Juneaucity,AK,12.55,24.66,10.53,4.73,47924,89.62,19920,21937,14034,10530,12850,13356,12586,5.59,10.14,30.71,4.75,75,26751,2.7,1.09,80.63,4.31,2.8,14.4,72.27,1298,10.25,19.8,736,12,0,0,0,12,41.53,3,10.38,18,62.3,128,443,857,2966.01,59,204.19,7,24.23
Fairbankscity,AK,15.45,35.12,18.14,4.7,32033,88.31,14665,16571,10107,9056,9562,9390,8926,10.39,13.78,18.34,8.62,70.45,30843,2.83,12.96,72.35,3.28,5.37,14.3,73.41,1535,10.49,16.74,1652,68,41,6,17.54,25,73.08,80,233.87,143,418.04,251,733.77,1460,4268.13,241,704.53,2,5.85
Selmacity,AL,16.96,27.15,13.5,13.84,15917,64.31,8844,14108,5143,913,16380,0,5584,35.71,39.46,15.59,10.89,46.94,23755,2.72,58.44,41,0.43,0.29,13.35,42.57,153,48.37,57.52,825,28,0,8,32.2,39,156.97,84,338.1,681,2740.99,590,2374.72,1846,7430.07,131,527.27,?,?
Bessemercity,AL,14.37,25.8,12.78,15.76,16331,66.27,8433,11798,6045,4754,7367,0,6250,29.7,42.18,7.21,10.58,46.83,33497,2.66,58.37,41.41,0.07,0.23,14.46,43.42,87,5.75,5.75,1199,5,21,10,31.17,31,96.64,193,601.66,651,2029.43,941,2933.47,1689,5265.29,442,1377.89,38,118.46
Dothancity,AL,14.66,26.08,12.36,11.54,25790,77.13,13047,15638,6248,11718,13586,14442,9701,17.03,29.55,19.26,4.87,62.19,53589,2.59,27.32,71.49,0.79,0.67,13.75,62.54,616,10.39,23.38,1505,28,0,4,7.11,33,58.68,115,204.48,555,986.82,835,1484.68,2965,5271.95,280,497.86,?,?
Scottsborocity,AL,14.44,25.21,12.32,12.84,24676,72.74,12130,12435,7592,7341,21573,10300,5840,14.52,32.53,14.88,4.66,59.27,13786,2.52,5.74,93.4,0.37,0.62,11.39,72.2,77,0,16.88,428,0,0,0,0,2,13.58,9,61.12,44,298.83,160,1086.66,528,3585.98,35,237.71,?,?
Prattvillecity,AL,15.91,26.96,12.8,8.48,32493,81.97,12461,13423,6746,28269,7922,10115,9374,11.42,25,18.49,5.36,65.49,19587,2.87,13.94,85.03,0.6,0.78,9.48,73.73,278,3.96,6.12,359,0,0,0,0,6,24.68,34,139.85,253,1040.64,284,1168.15,878,3611.39,44,180.98,3,12.34
Troycity,AL,26.91,40.37,29.39,12.15,17254,71.4,9400,11695,4729,17170,16840,0,4020,30.22,32.68,22.56,7.55,51.65,13051,2.79,33.74,65.55,0.39,0.45,8.55,52.95,214,40.19,40.19,466,4,0,1,7.09,0,0,5,35.45,3,21.27,25,177.25,24,170.16,14,99.26,1,7.09
AlexanderCitycity,AL,15.34,25.95,13,15.5,20970,68.75,11713,13992,5811,0,12713,0,4052,17.07,39.6,14.21,4.75,58.71,14917,2.6,28.05,71.62,0.18,0.12,11.29,60.3,49,0,44.9,425,0,0,4,26.29,1,6.57,11,72.29,36,236.59,56,368.03,77,506.05,4,26.29,0,0
