State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
AK,13.96,28.98,13.23,3.48,43946.0,90.83,19620.0,21277.0,13649.0,10760.0,13604.0,13713.0,13092.0,7.07,9.61,26.85,6.46,73.29,226338.0,2.74,6.43,80.74,4.82,4.09,14.62,73.33,13359.0,15.91,25.86,11451.0,310.0,34.0,23,9.07,212.0,83.63,568.0,224.06,1410.0,556.21,1880.0,741.62,10660.0,4205.13,1387.0,547.14,105.0,41.42
AK,12.55,24.66,10.53,4.73,47924.0,89.62,19920.0,21937.0,14034.0,10530.0,12850.0,13356.0,12586.0,5.59,10.14,30.71,4.75,75.0,26751.0,2.7,1.09,80.63,4.31,2.8,14.4,72.27,1298.0,10.25,19.8,736.0,12.0,0.0,0,0.0,12.0,41.53,3.0,10.38,18.0,62.3,128.0,443.0,857.0,2966.01,59.0,204.19,7.0,24.23
AK,15.45,35.12,18.14,4.7,32033.0,88.31,14665.0,16571.0,10107.0,9056.0,9562.0,9390.0,8926.0,10.39,13.78,18.34,8.62,70.45,30843.0,2.83,12.96,72.35,3.28,5.37,14.3,73.41,1535.0,10.49,16.74,1652.0,68.0,41.0,6,17.54,25.0,73.08,80.0,233.87,143.0,418.04,251.0,733.77,1460.0,4268.13,241.0,704.53,2.0,5.85
AL,16.96,27.15,13.5,13.84,15917.0,64.31,8844.0,14108.0,5143.0,913.0,16380.0,0.0,5584.0,35.71,39.46,15.59,10.89,46.94,23755.0,2.72,58.44,41.0,0.43,0.29,13.35,42.57,153.0,48.37,57.52,825.0,28.0,0.0,8,32.2,39.0,156.97,84.0,338.1,681.0,2740.99,590.0,2374.72,1846.0,7430.07,131.0,527.27,30.8125,35.178749999999994
AL,14.37,25.8,12.78,15.76,16331.0,66.27,8433.0,11798.0,6045.0,4754.0,7367.0,0.0,6250.0,29.7,42.18,7.21,10.58,46.83,33497.0,2.66,58.37,41.41,0.07,0.23,14.46,43.42,87.0,5.75,5.75,1199.0,5.0,21.0,10,31.17,31.0,96.64,193.0,601.66,651.0,2029.43,941.0,2933.47,1689.0,5265.29,442.0,1377.89,38.0,118.46
AL,14.66,26.08,12.36,11.54,25790.0,77.13,13047.0,15638.0,6248.0,11718.0,13586.0,14442.0,9701.0,17.03,29.55,19.26,4.87,62.19,53589.0,2.59,27.32,71.49,0.79,0.67,13.75,62.54,616.0,10.39,23.38,1505.0,28.0,0.0,4,7.11,33.0,58.68,115.0,204.48,555.0,986.82,835.0,1484.68,2965.0,5271.95,280.0,497.86,30.8125,35.178749999999994
AL,14.44,25.21,12.32,12.84,24676.0,72.74,12130.0,12435.0,7592.0,7341.0,21573.0,10300.0,5840.0,14.52,32.53,14.88,4.66,59.27,13786.0,2.52,5.74,93.4,0.37,0.62,11.39,72.2,77.0,0.0,16.88,428.0,0.0,0.0,0,0.0,2.0,13.58,9.0,61.12,44.0,298.83,160.0,1086.66,528.0,3585.98,35.0,237.71,30.8125,35.178749999999994
AL,15.91,26.96,12.8,8.48,32493.0,81.97,12461.0,13423.0,6746.0,28269.0,7922.0,10115.0,9374.0,11.42,25.0,18.49,5.36,65.49,19587.0,2.87,13.94,85.03,0.6,0.78,9.48,73.73,278.0,3.96,6.12,359.0,0.0,0.0,0,0.0,6.0,24.68,34.0,139.85,253.0,1040.64,284.0,1168.15,878.0,3611.39,44.0,180.98,3.0,12.34
AL,26.91,40.37,29.39,12.15,17254.0,71.4,9400.0,11695.0,4729.0,17170.0,16840.0,0.0,4020.0,30.22,32.68,22.56,7.55,51.65,13051.0,2.79,33.74,65.55,0.39,0.45,8.55,52.95,214.0,40.19,40.19,466.0,4.0,0.0,1,7.09,0.0,0.0,5.0,35.45,3.0,21.27,25.0,177.25,24.0,170.16,14.0,99.26,1.0,7.09
AL,15.34,25.95,13.0,15.5,20970.0,68.75,11713.0,13992.0,5811.0,0.0,12713.0,0.0,4052.0,17.07,39.6,14.21,4.75,58.71,14917.0,2.6,28.05,71.62,0.18,0.12,11.29,60.3,49.0,0.0,44.9,425.0,0.0,0.0,4,26.29,1.0,6.57,11.0,72.29,36.0,236.59,56.0,368.03,77.0,506.05,4.0,26.29,0.0,0.0
AL,12.99,24.33,12.35,18.09,20134.0,69.4,10595.0,11911.0,6542.0,11547.0,15000.0,1465.0,11117.0,20.96,34.2,13.58,7.43,53.23,10380.0,2.4,23.65,75.76,0.23,0.38,12.08,57.86,64.0,56.25,56.25,383.0,8.0,0.0,2,19.31,2.0,19.31,1.0,9.65,20.0,193.05,94.0,907.34,371.0,3581.08,17.0,164.09,1.0,9.65
